Name,Description,Logo_url
Skaffolder,Skaffolder is a platform that helps developers to create software prototypes.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Skaffolder-f8328655-71b9-47b6-907e-f710cc54cf84.png
Don't know yet,,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Don't know yet-0550644b-5c08-4f35-86e8-65e29c7d0e53.png
KgBase,"Our easy-to-use UI lets you traverse the graph, show the results as tables and charts, and much more",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/KgBase-9340f81a-f257-4ef0-88fb-0125830d0c21.png
Fibery,Use a full-blown relational database to build apps for your processes in minutes. Reflect your company structure. Create de-eee-ep work hierarchies. Link processes together. Shape a single connected workspace for your team or company.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Fibery-60721496-5fbb-43b6-be57-201ae34a902e.png
Transistor,"Record your audio and upload it to Transistor. We'll help you distribute your podcast to Apple Podcasts, Spotify, and Google Podcasts.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Transistor-3d7b7ec3-4905-4cb8-a04f-119c7c52a710.png
MemberStack,"Authentication & payments for companies who love Webflow, Stripe, & React.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/MemberStack-9e1c6a41-7d7f-44b2-8216-a977e46cba0d.png
MightyForms,"Unlock powerful forms with limitless possibilities. Create and publish, get submissions, and analyze data.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/MightyForms-c60123d1-4df2-45d8-9550-7d4ab8193ca3.png
Caspio,Caspio is the world's leading low-code platform for building online database applications without coding.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Caspio-79d67e71-aa45-477b-b180-9e6a350b1168.png
Cognito Forms,"From simple surveys to complex registration forms. In just minutes, you can create the online forms you need.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Cognito Forms-5850b7fc-2ec5-498b-a503-271c1462445c.png
Lobe,Designed to be easy enough for anyone to use. No-code or experience is required.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Lobe-ec3f3601-0a4b-4d4b-ad35-b915376a9ef8.png
Blendr.io,"Blendr.io is a powerful, hyper-scalable and secure integration platform for SaaS companies.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Blendr.io-6910767e-085e-42c3-b875-677724ca1841.png
Hackeet,Unknown platform. No information available.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Hackeet-d92be425-fe15-4122-a188-6922765f00cd.png
Busywork,Backends require the most work. Busywork reduces backend development time by 10x.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Busywork-0aca433b-2879-4665-be4f-a7e3a38fd0da.png
Cantrip,"Cantrip is a website builder for users who don't want to worry about plugins, design, or complex settings.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Cantrip-4985cb58-a852-4739-89b4-664c56e05645.png
Gamefroot,Gamefroot is a an online cloud based platform for making 2D games.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Gamefroot-95486639-ddbf-4ab0-97ee-3cbbe08d7c8e.png
Fliplet,Fliplet provides 'drag and drop' pre-built components that can enable virtually every feature you need.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Fliplet-5c441305-2bfd-4ea7-8a03-0abb1af4a567.png
Crowd Machine,The Crowd Machine platform has everything you need to create even the most sophisticated applications.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Crowd Machine-1ad64c60-3708-4237-9d50-c344b916576d.png
Atlantica,"Simple to build, easy to publish mobile apps without code for free!",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Atlantica-c19c79e3-9821-467f-8ffc-58d43288e583.png
Appsheet,Reclaim your time and talent with no-code apps and automation,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Appsheet-b5f1b378-8e75-4d0d-9a99-82ed4fc123b9.png
Backendless,"Backendless is No Code Visual App Builder, Mobile Backend as a Service, and API Service Platform",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Backendless-63b7a7e2-5335-4ae9-8dde-1fa870393e25.png
JustComments,Write newsletters in Markdown and send to many recipients from your machine using AWS.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/JustComments-e80bd380-f6af-4d52-8434-edba416881a6.png
Shift Studio,"Build with React, visually. Snap together powerful products.",https://84a044a110ed336e2c868a046cff31a0.cdn.bubble.io/f1683598952388x932892317647656700/shift.jpeg
